기준일,서울,인천,경기,강원,충북,충남,대전,세종,경북,대구,전북,전남,광주,경남,부산,울산,제주
2023-04-30,14.3%,6.7%,20.1%,3.5%,3.9%,4.5%,3.5%,0.8%,5.1%,6.0%,3.6%,4.4%,2.3%,6.1%,6.0%,1.4%,8.0%
2023-05-31,14.2%,6.9%,20.1%,3.5%,3.9%,4.5%,3.5%,0.8%,5.1%,5.9%,3.6%,4.4%,2.3%,6.1%,6.0%,1.4%,7.9%
2023-06-30,14.1%,6.9%,20.2%,3.5%,3.9%,4.4%,3.4%,0.8%,5.1%,5.9%,3.6%,4.5%,2.3%,6.2%,6.1%,1.4%,7.8%
2023-07-31,13.9%,6.9%,20.4%,3.4%,3.8%,4.5%,3.4%,0.8%,5.1%,5.8%,3.6%,4.5%,2.3%,6.5%,6.1%,1.4%,7.7%
2023-08-31,13.8%,7.0%,20.5%,3.4%,3.8%,4.4%,3.3%,0.8%,5.0%,5.8%,3.6%,4.4%,2.3%,6.5%,6.2%,1.4%,7.6%
2023-09-30,13.7%,7.1%,20.7%,3.4%,3.8%,4.4%,3.3%,0.8%,5.0%,5.8%,3.6%,4.5%,2.3%,6.5%,6.2%,1.4%,7.5%
2023-10-31,13.6%,7.2%,20.8%,3.4%,3.8%,4.5%,3.3%,0.8%,5.0%,5.7%,3.6%,4.5%,2.3%,6.6%,6.3%,1.4%,7.4%
2023-11-30,13.5%,7.2%,21.0%,3.4%,3.7%,4.4%,3.3%,0.8%,4.9%,5.7%,3.6%,4.5%,2.3%,6.6%,6.3%,1.4%,7.3%
2023-12-31,13.4%,7.4%,21.0%,3.4%,3.7%,4.4%,3.3%,0.8%,4.9%,5.6%,3.6%,4.4%,2.3%,6.7%,6.4%,1.4%,7.2%
2024-01-31,13.4%,7.5%,21.0%,3.3%,3.7%,4.4%,3.3%,0.8%,4.9%,5.6%,3.6%,4.4%,2.3%,6.7%,6.4%,1.4%,7.2%
2024-05-31,12.9%,7.6%,21.5%,3.2%,3.7%,4.5%,3.2%,0.8%,4.9%,5.3%,3.6%,4.6%,2.2%,6.9%,6.5%,1.4%,7.0%
2024-06-30,12.9%,7.7%,21.6%,3.2%,3.7%,4.5%,3.2%,0.8%,4.9%,5.3%,3.6%,4.6%,2.2%,6.9%,6.5%,1.4%,7.0%
2024-07-31,12.8%,7.7%,21.7%,3.2%,3.7%,4.5%,3.2%,0.8%,5.0%,5.3%,3.6%,4.6%,2.2%,6.9%,6.5%,1.4%,6.9%
